Barrio,DESTINO,cantidad_ocio_comercio,cantidad_oficinas,cantidad_residencial,centros_docentes,distancia_al_mar,nivel_socio_economico,Valor/m2_predicho
MERCADO,OFICINA,0.6539992183740884,0.08857268153072048,0.5118771427647352,0.13043478260869565,0.8226264126829597,0.4915783754414561,0.36195079813638165
MERCADO,PUERTOS COMERC.,0.6539992183740884,0.08857268153072048,0.5118771427647352,0.13043478260869565,0.8226264126829597,0.4915783754414561,0.4525884379367253
MERCADO,RELIGIOSO,0.6539992183740884,0.08857268153072048,0.5118771427647352,0.13043478260869565,0.8226264126829597,0.4915783754414561,0.46548944486808264
MERCADO,RESIDENCIAL,0.6539992183740884,0.08857268153072048,0.5118771427647352,0.13043478260869565,0.8226264126829597,0.4915783754414561,0.5189399739605194
MERCADO,"SANIDAD,BENEF.",0.6539992183740884,0.08857268153072048,0.5118771427647352,0.13043478260869565,0.8226264126829597,0.4915783754414561,0.4569097704450449
MERCADO,SOLARES,0.6539992183740884,0.08857268153072048,0.5118771427647352,0.13043478260869565,0.8226264126829597,0.4915783754414561,0.52167664044265
PARTIDAS DE ALICANTE,COMERCIO,0.10240190774595077,0.03727677788302986,0.6532051080933968,0.0,1.1102230246251565e-16,0.39282803585982073,0.5621773100481109
PARTIDAS DE ALICANTE,CULTURAL,0.10240190774595077,0.03727677788302986,0.6532051080933968,0.0,1.1102230246251565e-16,0.39282803585982073,0.5955593208654308
PARTIDAS DE ALICANTE,DEPORTIVO,0.10240190774595077,0.03727677788302986,0.6532051080933968,0.0,1.1102230246251565e-16,0.39282803585982073,0.6018264601608176
PARTIDAS DE ALICANTE,EDIF. SINGULAR,0.10240190774595077,0.03727677788302986,0.6532051080933968,0.0,1.1102230246251565e-16,0.39282803585982073,0.5929608192889868
PARTIDAS DE ALICANTE,ESPECTACULOS,0.10240190774595077,0.03727677788302986,0.6532051080933968,0.0,1.1102230246251565e-16,0.39282803585982073,0.5955593208654308
PARTIDAS DE ALICANTE,INDUSTRIAL,0.10240190774595077,0.03727677788302986,0.6532051080933968,0.0,1.1102230246251565e-16,0.39282803585982073,0.6660838639704498
PARTIDAS DE ALICANTE,OCIO-HOSTELERIA,0.10240190774595077,0.03727677788302986,0.6532051080933968,0.0,1.1102230246251565e-16,0.39282803585982073,0.5946609757715491
PARTIDAS DE ALICANTE,OFICINA,0.10240190774595077,0.03727677788302986,0.6532051080933968,0.0,1.1102230246251565e-16,0.39282803585982073,0.5438338072567459
PARTIDAS DE ALICANTE,PUERTOS COMERC.,0.10240190774595077,0.03727677788302986,0.6532051080933968,0.0,1.1102230246251565e-16,0.39282803585982073,0.5499479285018289
PARTIDAS DE ALICANTE,RELIGIOSO,0.10240190774595077,0.03727677788302986,0.6532051080933968,0.0,1.1102230246251565e-16,0.39282803585982073,0.5912483911396234
PARTIDAS DE ALICANTE,RESIDENCIAL,0.10240190774595077,0.03727677788302986,0.6532051080933968,0.0,1.1102230246251565e-16,0.39282803585982073,0.5972008209087891
PARTIDAS DE ALICANTE,"SANIDAD,BENEF.",0.10240190774595077,0.03727677788302986,0.6532051080933968,0.0,1.1102230246251565e-16,0.39282803585982073,0.5921382903148231
PARTIDAS DE ALICANTE,SOLARES,0.10240190774595077,0.03727677788302986,0.6532051080933968,0.0,1.1102230246251565e-16,0.39282803585982073,0.6320747226774854
